"REVIEW_ID","ITEM_ID","LABEL","Category"
"NDC-SOLES","pubmed-10555141",1,"Train"
"NDC-SOLES","pubmed-12486163",1,"Test"
"NDC-SOLES","pubmed-12671524",0,"Test"
"NDC-SOLES","pubmed-14674845",1,"Train"
"NDC-SOLES","pubmed-14973240",0,"Train"
"NDC-SOLES","pubmed-15811384",0,"Train"
"NDC-SOLES","pubmed-16035034",0,"Train"
"NDC-SOLES","pubmed-16540584",1,"Test"
"NDC-SOLES","pubmed-16554754",0,"Train"
"NDC-SOLES","pubmed-16818619",0,"Train"
"NDC-SOLES","pubmed-17878293",1,"Train"
"NDC-SOLES","pubmed-18037993",0,"Train"
"NDC-SOLES","pubmed-18413370",0,"Train"
"NDC-SOLES","pubmed-18506028",0,"Train"
"NDC-SOLES","pubmed-18514431",0,"Train"
"NDC-SOLES","pubmed-18544893",0,"Test"
"NDC-SOLES","pubmed-20133615",0,"Train"
"NDC-SOLES","pubmed-21029865",0,"Test"
"NDC-SOLES","pubmed-21473985",0,"Train"
"NDC-SOLES","pubmed-21515581",0,"Train"
"NDC-SOLES","pubmed-21767826",0,"Train"
"NDC-SOLES","pubmed-21972117",0,"Train"
"NDC-SOLES","pubmed-23136410",1,"Train"
"NDC-SOLES","pubmed-23348913",0,"Train"
"NDC-SOLES","pubmed-23456787",0,"Test"
"NDC-SOLES","pubmed-23495194",0,"Train"
"NDC-SOLES","pubmed-23926248",0,"Test"
"NDC-SOLES","pubmed-24023755",1,"Train"
"NDC-SOLES","pubmed-24295733",0,"Train"
"NDC-SOLES","pubmed-24358452",0,"Train"
"NDC-SOLES","pubmed-24363064",1,"Train"
"NDC-SOLES","pubmed-24477985",0,"Train"
"NDC-SOLES","pubmed-25061506",0,"Test"
"NDC-SOLES","pubmed-25109237",0,"Train"
"NDC-SOLES","pubmed-25134682",0,"Train"
"NDC-SOLES","pubmed-25196215",0,"Train"
"NDC-SOLES","pubmed-25352779",0,"Train"
"NDC-SOLES","pubmed-25451118",1,"Train"
"NDC-SOLES","pubmed-25811370",0,"Test"
"NDC-SOLES","pubmed-26291160",0,"Train"
"NDC-SOLES","pubmed-26300453",1,"Train"
"NDC-SOLES","pubmed-26477937",0,"Train"
"NDC-SOLES","pubmed-26819276",0,"Train"
"NDC-SOLES","pubmed-27277807",0,"Train"
"NDC-SOLES","pubmed-27472223",1,"Train"
"NDC-SOLES","pubmed-28374847",0,"Train"
"NDC-SOLES","pubmed-28513774",0,"Train"
"NDC-SOLES","pubmed-28928363",1,"Train"
"NDC-SOLES","pubmed-29049287",0,"Test"
"NDC-SOLES","pubmed-29311892",1,"Train"
"NDC-SOLES","pubmed-29651330",0,"Train"
"NDC-SOLES","pubmed-29898395",0,"Train"
"NDC-SOLES","pubmed-30556326",0,"Train"
"NDC-SOLES","pubmed-31045243",1,"Train"
"NDC-SOLES","pubmed-31120883",0,"Train"
"NDC-SOLES","pubmed-31273723",1,"Train"
"NDC-SOLES","pubmed-31978189",1,"Train"
"NDC-SOLES","pubmed-32011705",1,"Train"
"NDC-SOLES","pubmed-32072336",1,"Train"
"NDC-SOLES","pubmed-32620897",0,"Train"
"NDC-SOLES","pubmed-32801156",0,"Train"
"NDC-SOLES","pubmed-33202683",0,"Test"
"NDC-SOLES","pubmed-33287601",0,"Train"
"NDC-SOLES","pubmed-33501714",1,"Train"
"NDC-SOLES","pubmed-33855352",0,"Train"
"NDC-SOLES","pubmed-34115327",0,"Train"
"NDC-SOLES","pubmed-34309811",0,"Train"
"NDC-SOLES","pubmed-34354107",0,"Train"
"NDC-SOLES","pubmed-34494546",0,"Test"
"NDC-SOLES","pubmed-34525371",0,"Train"
"NDC-SOLES","pubmed-34535637",0,"Train"
"NDC-SOLES","pubmed-34692539",0,"Train"
"NDC-SOLES","pubmed-34908527",1,"Train"
"NDC-SOLES","pubmed-34909687",0,"Train"
"NDC-SOLES","pubmed-35013239",1,"Train"
"NDC-SOLES","pubmed-35134716",0,"Test"
"NDC-SOLES","pubmed-35610565",0,"Train"
"NDC-SOLES","pubmed-35819332",0,"Test"
"NDC-SOLES","pubmed-36152629",0,"Train"
"NDC-SOLES","pubmed-36293496",0,"Train"
"NDC-SOLES","pubmed-36318534",0,"Train"
"NDC-SOLES","pubmed-7976481",0,"Test"
"NDC-SOLES","pubmed-9060410",1,"Train"
"NDC-SOLES","pubmed-9140392",0,"Train"
"NDC-SOLES","pubmed-9442260",0,"Train"
"NDC-SOLES","pubmed-9731525",0,"Train"
"NDC-SOLES","scopus-33845340757",0,"Train"
"NDC-SOLES","scopus-43549109219",0,"Train"
"NDC-SOLES","scopus-84930427217",0,"Train"
"NDC-SOLES","scopus-85050377639",0,"Train"
"NDC-SOLES","scopus-85096233015",0,"Test"
"NDC-SOLES","scopus-85102473953",0,"Train"
"NDC-SOLES","wos-000208443703061",0,"Train"
"NDC-SOLES","wos-000243616000019",0,"Test"
"NDC-SOLES","wos-000351880000181",0,"Test"
"NDC-SOLES","wos-000368371600019",0,"Train"
"NDC-SOLES","wos-000401781800012",0,"Test"
"NDC-SOLES","wos-000431188500721",1,"Test"
"NDC-SOLES","wos-000522632400012",0,"Train"
"NDC-SOLES","wos-000823159800001",0,"Test"
"NDC-SOLES","pubmed-8033209",1,"Train"
"NDC-SOLES","pubmed-23703963",1,"Train"
"NDC-SOLES","pubmed-23441094",1,"Test"
"NDC-SOLES","pubmed-19360662",1,"Train"
"NDC-SOLES","pubmed-11967891",1,"Test"
"NDC-SOLES","pubmed-17619227",1,"Train"
"NDC-SOLES","pubmed-23349049",1,"Train"
"NDC-SOLES","pubmed-23436049",1,"Train"
"NDC-SOLES","pubmed-21904980",1,"Train"
"NDC-SOLES","pubmed-8001127",1,"Test"
"NDC-SOLES","pubmed-17983671",1,"Train"
"NDC-SOLES","pubmed-19932134",1,"Train"
"NDC-SOLES","pubmed-20699105",1,"Train"
"NDC-SOLES","pubmed-22820233",1,"Train"
"NDC-SOLES","pubmed-23280234",1,"Train"
"NDC-SOLES","pubmed-19799873",1,"Train"
"NDC-SOLES","pubmed-22381732",1,"Train"
"NDC-SOLES","pubmed-22817866",1,"Train"
"NDC-SOLES","pubmed-22265702",1,"Train"
"NDC-SOLES","pubmed-19490899",1,"Train"
"NDC-SOLES","pubmed-20211139",1,"Train"
"NDC-SOLES","pubmed-21074052",1,"Train"
"NDC-SOLES","pubmed-21565394",1,"Train"
"NDC-SOLES","pubmed-23141534",1,"Train"
"NDC-SOLES","pubmed-24995986",1,"Train"
"NDC-SOLES","pubmed-15878204",1,"Train"
"NDC-SOLES","pubmed-16199166",1,"Train"
"NDC-SOLES","pubmed-16257225",1,"Train"
"NDC-SOLES","pubmed-19666116",1,"Train"
"NDC-SOLES","pubmed-20138994",1,"Test"
"NDC-SOLES","pubmed-21156207",1,"Train"
"NDC-SOLES","pubmed-21220020",1,"Test"
"NDC-SOLES","pubmed-22127389",1,"Train"
"NDC-SOLES","pubmed-22249109",1,"Train"
"NDC-SOLES","pubmed-23123587",1,"Train"
"NDC-SOLES","pubmed-23153818",1,"Train"
"NDC-SOLES","pubmed-17197085",1,"Train"
"NDC-SOLES","pubmed-16055059",1,"Test"
"NDC-SOLES","pubmed-16675393",1,"Train"
"NDC-SOLES","pubmed-19945391",1,"Train"
"NDC-SOLES","pubmed-22500629",1,"Test"
"NDC-SOLES","pubmed-23083736",1,"Train"
"NDC-SOLES","pubmed-23664552",1,"Test"
"NDC-SOLES","pubmed-24035762",1,"Train"
"NDC-SOLES","pubmed-23159330",1,"Train"
"NDC-SOLES","pubmed-23660195",1,"Train"
"NDC-SOLES","pubmed-23541496",1,"Train"
"NDC-SOLES","pubmed-20452127",1,"Test"
"NDC-SOLES","pubmed-12888219",1,"Test"
"NDC-SOLES","pubmed-9808466",1,"Train"
"NDC-SOLES","pubmed-9883721",1,"Train"
"NDC-SOLES","pubmed-11239428",1,"Train"
"NDC-SOLES","pubmed-9853749",1,"Test"
"NDC-SOLES","pubmed-11242117",1,"Train"
"NDC-SOLES","pubmed-11242118",1,"Train"
"NDC-SOLES","pubmed-11279521",1,"Test"
"NDC-SOLES","pubmed-21068835",1,"Train"
"NDC-SOLES","pubmed-21423165",1,"Test"
"NDC-SOLES","pubmed-22699619",1,"Test"
"NDC-SOLES","pubmed-22699620",1,"Train"
"NDC-SOLES","pubmed-22763451",1,"Train"
"NDC-SOLES","pubmed-22914087",1,"Test"
"NDC-SOLES","pubmed-25519132",1,"Test"
"NDC-SOLES","pubmed-19151705",1,"Train"
"NDC-SOLES","pubmed-23250422",1,"Test"
"NDC-SOLES","pubmed-25144834",1,"Train"
"NDC-SOLES","pubmed-22231481",1,"Train"
"NDC-SOLES","pubmed-17893678",1,"Train"
"NDC-SOLES","pubmed-12717432",1,"Test"
"NDC-SOLES","pubmed-19430469",1,"Train"
"NDC-SOLES","pubmed-22119903",1,"Train"
"NDC-SOLES","pubmed-23831965",1,"Train"
"NDC-SOLES","pubmed-16921370",1,"Train"
"NDC-SOLES","pubmed-19137022",1,"Train"
"NDC-SOLES","pubmed-22806213",1,"Train"
"NDC-SOLES","pubmed-25423136",1,"Test"
"NDC-SOLES","pubmed-23298182",1,"Train"
"NDC-SOLES","pubmed-16875466",1,"Test"
"NDC-SOLES","pubmed-15983371",1,"Train"
"NDC-SOLES","pubmed-18227507",1,"Test"
"NDC-SOLES","pubmed-19822762",1,"Test"
"NDC-SOLES","pubmed-20194734",1,"Train"
"NDC-SOLES","pubmed-21808020",1,"Train"
"NDC-SOLES","pubmed-21878566",1,"Test"
