"REVIEW_ID","ITEM_ID","LABEL"
"NDC-SOLES","wos-000377545800017",0
"NDC-SOLES","pubmed-25136295",0
"NDC-SOLES","pubmed-23978468",0
"NDC-SOLES","pubmed-26482541",0
"NDC-SOLES","pubmed-11838710",0
"NDC-SOLES","scopus-85037601215",0
"NDC-SOLES","pubmed-24798796",0
"NDC-SOLES","pubmed-27874262",0
"NDC-SOLES","scopus-84976499798",0
"NDC-SOLES","pubmed-35864088",1
"NDC-SOLES","pubmed-32923721",0
"NDC-SOLES","pubmed-23250422",1
"NDC-SOLES","wos-000651547800003",0
"NDC-SOLES","scopus-0033848981",0
"NDC-SOLES","pubmed-20079361",0
"NDC-SOLES","pubmed-10869516",0
"NDC-SOLES","pubmed-27510895",1
"NDC-SOLES","pubmed-20700456",0
"NDC-SOLES","pubmed-22114697",0
"NDC-SOLES","scopus-84875647585",0
"NDC-SOLES","pubmed-11520547",0
"NDC-SOLES","pubmed-31102767",1
"NDC-SOLES","pubmed-19369296",1
"NDC-SOLES","pubmed-29787855",1
"NDC-SOLES","pubmed-27959866",0
"NDC-SOLES","pubmed-8673131",1
"NDC-SOLES","pubmed-27823858",1
"NDC-SOLES","wos-000862189700001",0
"NDC-SOLES","pubmed-30679017",1
"NDC-SOLES","wos-000596508400010",0
"NDC-SOLES","wos-000361886700018",0
"NDC-SOLES","pubmed-27721485",0
"NDC-SOLES","pubmed-18977160",0
"NDC-SOLES","pubmed-21945393",0
"NDC-SOLES","scopus-85122738607",0
"NDC-SOLES","pubmed-28412310",0
"NDC-SOLES","wos-000209701503204",0
"NDC-SOLES","pubmed-31087709",0
"NDC-SOLES","wos-000244559000012",0
"NDC-SOLES","pubmed-16051596",0
"NDC-SOLES","pubmed-20876117",0
"NDC-SOLES","pubmed-11701760",0
"NDC-SOLES","pubmed-32418612",1
"NDC-SOLES","wos-000520213500001",0
"NDC-SOLES","pubmed-20138994",1
"NDC-SOLES","pubmed-28762254",0
"NDC-SOLES","pubmed-22623674",0
"NDC-SOLES","pubmed-32398858",1
"NDC-SOLES","pubmed-22355564",1
"NDC-SOLES","scopus-0031048111",0
"NDC-SOLES","pubmed-12351716",0
"NDC-SOLES","scopus-85029545204",0
"NDC-SOLES","pubmed-19081379",1
"NDC-SOLES","pubmed-25061506",0
"NDC-SOLES","wos-000540482200077",0
"NDC-SOLES","pubmed-23441094",1
"NDC-SOLES","wos-a1996vj51100013",0
"NDC-SOLES","scopus-85086734383",0
"NDC-SOLES","pubmed-28165066",0
"NDC-SOLES","pubmed-34104886",0
"NDC-SOLES","pubmed-35134716",0
"NDC-SOLES","pubmed-36232931",0
"NDC-SOLES","pubmed-30676691",0
"NDC-SOLES","pubmed-18544893",0
"NDC-SOLES","pubmed-28483592",0
"NDC-SOLES","pubmed-28119500",1
"NDC-SOLES","pubmed-22006816",0
"NDC-SOLES","pubmed-7976481",0
"NDC-SOLES","scopus-33748639740",0
"NDC-SOLES","scopus-0033966590",0
"NDC-SOLES","pubmed-20370715",0
"NDC-SOLES","pubmed-27668656",1
"NDC-SOLES","pubmed-33353253",0
"NDC-SOLES","wos-000339948700010",0
"NDC-SOLES","pubmed-12888219",1
"NDC-SOLES","pubmed-32057808",0
"NDC-SOLES","wos-000823159800001",0
"NDC-SOLES","pubmed-22143495",0
"NDC-SOLES","wos-000345120400004",0
"NDC-SOLES","scopus-85096233015",0
"NDC-SOLES","pubmed-23692689",0
"NDC-SOLES","wos-000327197200001",0
"NDC-SOLES","pubmed-15955669",0
"NDC-SOLES","pubmed-35738417",0
"NDC-SOLES","scopus-85050461889",0
"NDC-SOLES","pubmed-27517478",0
"NDC-SOLES","pubmed-33276243",0
"NDC-SOLES","pubmed-9737963",0
"NDC-SOLES","pubmed-35303947",1
"NDC-SOLES","pubmed-24441871",0
"NDC-SOLES","pubmed-10331989",0
"NDC-SOLES","pubmed-21075104",0
"NDC-SOLES","pubmed-31031006",0
"NDC-SOLES","pubmed-24970834",1
"NDC-SOLES","pubmed-34979308",0
"NDC-SOLES","scopus-0344223547",0
"NDC-SOLES","pubmed-25266127",1
"NDC-SOLES","pubmed-11560960",1
"NDC-SOLES","pubmed-31768992",0
"NDC-SOLES","scopus-85029802144",0
"NDC-SOLES","pubmed-16922889",0
"NDC-SOLES","scopus-0030661967",0
"NDC-SOLES","pubmed-26944438",0
"NDC-SOLES","wos-000474323900008",0
"NDC-SOLES","pubmed-23456787",0
"NDC-SOLES","scopus-0033992695",0
"NDC-SOLES","pubmed-15520163",0
"NDC-SOLES","pubmed-11534866",0
"NDC-SOLES","wos-000285576900035",0
"NDC-SOLES","pubmed-20858763",0
"NDC-SOLES","wos-000604931400001",0
"NDC-SOLES","pubmed-16737849",0
"NDC-SOLES","pubmed-18080902",0
"NDC-SOLES","scopus-43849095420",0
"NDC-SOLES","pubmed-26442967",0
"NDC-SOLES","pubmed-27021170",1
"NDC-SOLES","pubmed-11087157",0
"NDC-SOLES","pubmed-16300636",1
"NDC-SOLES","pubmed-19627984",1
"NDC-SOLES","wos-000181910500004",0
"NDC-SOLES","pubmed-31119867",1
"NDC-SOLES","pubmed-28823556",1
"NDC-SOLES","pubmed-11998247",0
"NDC-SOLES","scopus-85029566684",0
"NDC-SOLES","pubmed-12746865",0
"NDC-SOLES","pubmed-24278749",0
"NDC-SOLES","pubmed-32103003",1
"NDC-SOLES","scopus-85085510461",0
"NDC-SOLES","pubmed-26886798",1
"NDC-SOLES","scopus-78651282657",0
"NDC-SOLES","pubmed-22914087",1
"NDC-SOLES","pubmed-11857399",0
"NDC-SOLES","pubmed-32992127",0
"NDC-SOLES","pubmed-31562951",0
"NDC-SOLES","pubmed-20165695",0
"NDC-SOLES","pubmed-34604093",0
"NDC-SOLES","pubmed-17983354",0
"NDC-SOLES","pubmed-24886391",0
"NDC-SOLES","pubmed-31594465",0
"NDC-SOLES","pubmed-35819332",0
"NDC-SOLES","pubmed-29899064",1
"NDC-SOLES","wos-000177794000016",0
"NDC-SOLES","pubmed-24798517",0
"NDC-SOLES","pubmed-31806371",0
"NDC-SOLES","pubmed-35022531",1
"NDC-SOLES","pubmed-25154505",1
"NDC-SOLES","pubmed-31525509",0
"NDC-SOLES","wos-000228750600002",0
"NDC-SOLES","pubmed-32554223",0
"NDC-SOLES","pubmed-21558424",1
"NDC-SOLES","pubmed-29152770",0
"NDC-SOLES","pubmed-33202683",0
"NDC-SOLES","pubmed-27198666",0
"NDC-SOLES","wos-000709928200005",0
"NDC-SOLES","pubmed-28888922",0
"NDC-SOLES","pubmed-18773074",1
"NDC-SOLES","pubmed-35980799",0
"NDC-SOLES","pubmed-29970986",1
"NDC-SOLES","pubmed-12486163",1
"NDC-SOLES","pubmed-14506133",0
"NDC-SOLES","wos-000336507100005",0
"NDC-SOLES","pubmed-17208654",0
"NDC-SOLES","pubmed-16465494",0
"NDC-SOLES","wos-000296915000005",0
"NDC-SOLES","pubmed-22902993",0
"NDC-SOLES","pubmed-15670775",0
"NDC-SOLES","pubmed-12956733",0
"NDC-SOLES","pubmed-31963584",0
"NDC-SOLES","pubmed-27812326",1
"NDC-SOLES","scopus-0030013989",0
"NDC-SOLES","pubmed-8780855",0
"NDC-SOLES","pubmed-22857010",0
"NDC-SOLES","pubmed-25943585",0
"NDC-SOLES","pubmed-35451230",1
"NDC-SOLES","scopus-33845422007",0
"NDC-SOLES","pubmed-19822762",1
"NDC-SOLES","pubmed-16675515",0
"NDC-SOLES","pubmed-27515288",0
"NDC-SOLES","pubmed-35866229",0
"NDC-SOLES","pubmed-24465979",1
"NDC-SOLES","pubmed-27941795",0
"NDC-SOLES","scopus-85068253576",0
"NDC-SOLES","pubmed-18599438",1
"NDC-SOLES","pubmed-21952241",0
"NDC-SOLES","pubmed-15949229",1
"NDC-SOLES","pubmed-24322661",0
"NDC-SOLES","wos-000088106600001",0
"NDC-SOLES","pubmed-15184377",1
"NDC-SOLES","scopus-84858297187",0
"NDC-SOLES","pubmed-31992971",1
"NDC-SOLES","pubmed-8792330",0
"NDC-SOLES","pubmed-34296753",0
"NDC-SOLES","pubmed-26032619",0
"NDC-SOLES","pubmed-24107461",0
"NDC-SOLES","wos-000386195000006",0
"NDC-SOLES","pubmed-9853749",1
"NDC-SOLES","scopus-20344363681",0
"NDC-SOLES","pubmed-29049287",0
"NDC-SOLES","pubmed-11279521",1
"NDC-SOLES","wos-000271984400012",0
"NDC-SOLES","wos-000086512700006",0
"NDC-SOLES","pubmed-26590342",1
"NDC-SOLES","pubmed-20452127",1
"NDC-SOLES","wos-000182680300036",0
"NDC-SOLES","pubmed-9372224",0
"NDC-SOLES","pubmed-24117347",0
"NDC-SOLES","pubmed-12717432",1
"NDC-SOLES","pubmed-20171185",0
"NDC-SOLES","pubmed-16210377",0
"NDC-SOLES","pubmed-20405854",0
"NDC-SOLES","scopus-85089787699",0
"NDC-SOLES","pubmed-36240494",0
"NDC-SOLES","scopus-33646945321",0
"NDC-SOLES","pubmed-26201245",1
"NDC-SOLES","wos-000583358800001",0
"NDC-SOLES","pubmed-21968643",0
