"REVIEW_ID","ITEM_ID","LABEL"
"NDC-SOLES","pubmed-8033209",1
"NDC-SOLES","pubmed-23703963",99
"NDC-SOLES","pubmed-23441094",99
"NDC-SOLES","pubmed-19360662",1
"NDC-SOLES","pubmed-11967891",1
"NDC-SOLES","pubmed-17619227",1
"NDC-SOLES","pubmed-23349049",1
"NDC-SOLES","pubmed-23436049",99
"NDC-SOLES","pubmed-21904980",1
"NDC-SOLES","pubmed-8001127",1
"NDC-SOLES","pubmed-17983671",1
"NDC-SOLES","pubmed-19932134",1
"NDC-SOLES","pubmed-20699105",1
"NDC-SOLES","pubmed-22820233",1
"NDC-SOLES","pubmed-23280234",1
"NDC-SOLES","pubmed-19799873",99
"NDC-SOLES","pubmed-22381732",1
"NDC-SOLES","pubmed-22817866",99
"NDC-SOLES","pubmed-22265702",1
"NDC-SOLES","pubmed-19490899",1
"NDC-SOLES","pubmed-20211139",1
"NDC-SOLES","pubmed-21074052",1
"NDC-SOLES","pubmed-21565394",1
"NDC-SOLES","pubmed-23141534",1
"NDC-SOLES","pubmed-24995986",99
"NDC-SOLES","pubmed-15878204",1
"NDC-SOLES","pubmed-16199166",99
"NDC-SOLES","pubmed-16257225",1
"NDC-SOLES","pubmed-19666116",1
"NDC-SOLES","pubmed-20138994",1
"NDC-SOLES","pubmed-21156207",1
"NDC-SOLES","pubmed-21220020",1
"NDC-SOLES","pubmed-22127389",99
"NDC-SOLES","pubmed-22249109",1
"NDC-SOLES","pubmed-23123587",1
"NDC-SOLES","pubmed-23153818",1
"NDC-SOLES","pubmed-17197085",1
"NDC-SOLES","pubmed-16055059",1
"NDC-SOLES","pubmed-16675393",99
"NDC-SOLES","pubmed-19945391",1
"NDC-SOLES","pubmed-22500629",1
"NDC-SOLES","pubmed-23083736",1
"NDC-SOLES","pubmed-23664552",1
"NDC-SOLES","pubmed-24035762",1
"NDC-SOLES","pubmed-23159330",1
"NDC-SOLES","pubmed-23660195",1
"NDC-SOLES","pubmed-23541496",1
"NDC-SOLES","pubmed-20452127",1
"NDC-SOLES","pubmed-10555141",99
"NDC-SOLES","pubmed-12888219",1
"NDC-SOLES","pubmed-9808466",1
"NDC-SOLES","pubmed-9883721",1
"NDC-SOLES","pubmed-11239428",1
"NDC-SOLES","pubmed-9853749",1
"NDC-SOLES","pubmed-11242117",1
"NDC-SOLES","pubmed-11242118",1
"NDC-SOLES","pubmed-11279521",1
"NDC-SOLES","pubmed-21068835",1
"NDC-SOLES","pubmed-21423165",1
"NDC-SOLES","pubmed-22699619",1
"NDC-SOLES","pubmed-22699620",1
"NDC-SOLES","pubmed-22763451",99
"NDC-SOLES","pubmed-22914087",1
"NDC-SOLES","pubmed-25519132",1
"NDC-SOLES","pubmed-19151705",1
"NDC-SOLES","pubmed-23250422",1
"NDC-SOLES","pubmed-25144834",1
"NDC-SOLES","pubmed-22231481",1
"NDC-SOLES","pubmed-17893678",99
"NDC-SOLES","pubmed-12717432",1
"NDC-SOLES","pubmed-19430469",1
"NDC-SOLES","pubmed-22119903",1
"NDC-SOLES","pubmed-23831965",1
"NDC-SOLES","pubmed-16921370",1
"NDC-SOLES","pubmed-19137022",1
"NDC-SOLES","pubmed-22806213",99
"NDC-SOLES","pubmed-25423136",1
"NDC-SOLES","pubmed-23298182",99
"NDC-SOLES","pubmed-16875466",1
"NDC-SOLES","pubmed-15983371",1
"NDC-SOLES","pubmed-18227507",1
"NDC-SOLES","pubmed-19822762",99
"NDC-SOLES","pubmed-20194734",1
"NDC-SOLES","pubmed-21808020",1
"NDC-SOLES","pubmed-21878566",1
"NDC-SOLES","pubmed-23236174",1
"NDC-SOLES","pubmed-23509247",1
"NDC-SOLES","pubmed-23487788",1
"NDC-SOLES","pubmed-9144249",1
"NDC-SOLES","pubmed-9108119",1
"NDC-SOLES","pubmed-19640847",99
"NDC-SOLES","pubmed-16467389",1
"NDC-SOLES","pubmed-21964919",1
"NDC-SOLES","pubmed-21856714",99
"NDC-SOLES","pubmed-22021912",99
"NDC-SOLES","pubmed-11555628",1
"NDC-SOLES","pubmed-11230174",99
"NDC-SOLES","pubmed-15351775",99
"NDC-SOLES","pubmed-15746153",1
"NDC-SOLES","pubmed-17728320",99
"NDC-SOLES","pubmed-21062901",1
"NDC-SOLES","pubmed-21558424",1
"NDC-SOLES","pubmed-22186023",99
"NDC-SOLES","pubmed-22215440",1
"NDC-SOLES","pubmed-22343140",99
"NDC-SOLES","pubmed-23026749",1
"NDC-SOLES","pubmed-15977646",1
"NDC-SOLES","pubmed-11297510",1
"NDC-SOLES","pubmed-22700469",1
"NDC-SOLES","pubmed-19243448",99
"NDC-SOLES","pubmed-21745337",1
"NDC-SOLES","pubmed-22989184",1
"NDC-SOLES","pubmed-19723784",1
"NDC-SOLES","pubmed-17720885",1
"NDC-SOLES","pubmed-17823315",1
"NDC-SOLES","pubmed-22956686",1
"NDC-SOLES","pubmed-21974935",1
"NDC-SOLES","pubmed-23220633",1
"NDC-SOLES","pubmed-12192061",1
"NDC-SOLES","pubmed-14966286",1
"NDC-SOLES","pubmed-22194327",1
"NDC-SOLES","pubmed-17986521",1
"NDC-SOLES","pubmed-20414372",1
"NDC-SOLES","pubmed-22067669",1
"NDC-SOLES","pubmed-20952458",1
"NDC-SOLES","pubmed-15949229",1
"NDC-SOLES","pubmed-20163734",1
"NDC-SOLES","pubmed-21167025",1
"NDC-SOLES","pubmed-23621888",1
"NDC-SOLES","pubmed-15342473",99
"NDC-SOLES","pubmed-20011099",1
"NDC-SOLES","pubmed-20300527",99
"NDC-SOLES","pubmed-22046307",1
"NDC-SOLES","pubmed-22412993",1
"NDC-SOLES","pubmed-22900024",1
"NDC-SOLES","pubmed-22916201",1
"NDC-SOLES","pubmed-23227269",1
"NDC-SOLES","pubmed-19587282",99
"NDC-SOLES","pubmed-9763493",1
"NDC-SOLES","pubmed-17913925",1
"NDC-SOLES","pubmed-23175819",99
"NDC-SOLES","pubmed-24259569",1
"NDC-SOLES","pubmed-19812320",99
"NDC-SOLES","pubmed-19261893",1
"NDC-SOLES","pubmed-20071534",1
"NDC-SOLES","pubmed-18272679",1
"NDC-SOLES","pubmed-17537961",1
"NDC-SOLES","pubmed-20392952",99
"NDC-SOLES","pubmed-19211884",99
"NDC-SOLES","pubmed-22378884",1
"NDC-SOLES","pubmed-26559786",1
"NDC-SOLES","pubmed-27492494",1
"NDC-SOLES","pubmed-29028156",99
"NDC-SOLES","pubmed-30653853",1
"NDC-SOLES","pubmed-31119867",1
"NDC-SOLES","pubmed-33871180",99
"NDC-SOLES","pubmed-35726031",1
"NDC-SOLES","pubmed-32072336",99
"NDC-SOLES","pubmed-24726472",99
"NDC-SOLES","pubmed-27453576",1
"NDC-SOLES","pubmed-29787855",1
"NDC-SOLES","pubmed-24211371",99
"NDC-SOLES","pubmed-30466882",99
"NDC-SOLES","pubmed-32418612",1
"NDC-SOLES","pubmed-32711953",99
"NDC-SOLES","pubmed-34344536",1
"NDC-SOLES","pubmed-34865853",1
"NDC-SOLES","pubmed-27293187",1
"NDC-SOLES","pubmed-27912058",99
"NDC-SOLES","pubmed-28823556",1
"NDC-SOLES","pubmed-31398341",1
"NDC-SOLES","pubmed-32795412",1
"NDC-SOLES","pubmed-25937288",1
"NDC-SOLES","pubmed-26027926",1
"NDC-SOLES","pubmed-26166566",1
"NDC-SOLES","pubmed-27568567",99
"NDC-SOLES","pubmed-28402856",1
"NDC-SOLES","pubmed-29898395",99
"NDC-SOLES","pubmed-30304677",1
"NDC-SOLES","pubmed-30840899",99
"NDC-SOLES","pubmed-32294447",99
"NDC-SOLES","pubmed-33238114",1
"NDC-SOLES","pubmed-33826902",1
"NDC-SOLES","pubmed-34525371",99
"NDC-SOLES","pubmed-36323257",1
"NDC-SOLES","pubmed-25556659",1
"NDC-SOLES","pubmed-29920279",99
"NDC-SOLES","pubmed-32498016",1
"NDC-SOLES","pubmed-33305180",1
"NDC-SOLES","pubmed-35198865",1
"NDC-SOLES","pubmed-29367010",1
"NDC-SOLES","pubmed-30201312",1
"NDC-SOLES","pubmed-25088363",1
"NDC-SOLES","pubmed-25155956",1
"NDC-SOLES","pubmed-26291161",1
"NDC-SOLES","pubmed-26590342",1
"NDC-SOLES","pubmed-26687841",99
"NDC-SOLES","pubmed-27021170",1
"NDC-SOLES","pubmed-29503190",1
"NDC-SOLES","pubmed-30318412",1
"NDC-SOLES","pubmed-30344048",99
"NDC-SOLES","pubmed-30522820",1
"NDC-SOLES","pubmed-30679017",1
"NDC-SOLES","pubmed-31780330",99
"NDC-SOLES","pubmed-32126198",1
"NDC-SOLES","pubmed-32199104",1
"NDC-SOLES","pubmed-33113347",1
"NDC-SOLES","pubmed-34197733",1
"NDC-SOLES","pubmed-34614421",1
"NDC-SOLES","pubmed-35081333",1
"NDC-SOLES","pubmed-35219402",1
"NDC-SOLES","pubmed-27544825",1
"NDC-SOLES","pubmed-31870807",1
"NDC-SOLES","pubmed-29086765",1
"NDC-SOLES","pubmed-25266127",1
"NDC-SOLES","pubmed-25288137",1
"NDC-SOLES","pubmed-26782054",1
"NDC-SOLES","pubmed-28948974",1
"NDC-SOLES","pubmed-28416808",1
"NDC-SOLES","pubmed-26605526",1
"NDC-SOLES","pubmed-26886798",1
"NDC-SOLES","pubmed-27007844",99
"NDC-SOLES","pubmed-27602517",1
"NDC-SOLES","pubmed-28297715",1
"NDC-SOLES","pubmed-29019980",99
"NDC-SOLES","pubmed-27161151",1
"NDC-SOLES","pubmed-25198012",1
"NDC-SOLES","pubmed-25981743",99
"NDC-SOLES","pubmed-27668656",1
"NDC-SOLES","pubmed-28288114",1
"NDC-SOLES","pubmed-24441682",1
"NDC-SOLES","pubmed-25242307",1
"NDC-SOLES","pubmed-27694995",1
"NDC-SOLES","pubmed-28671691",1
"NDC-SOLES","pubmed-26538449",1
"NDC-SOLES","pubmed-30610205",1
"NDC-SOLES","pubmed-30705426",99
"NDC-SOLES","pubmed-31455858",1
"NDC-SOLES","pubmed-33727673",1
"NDC-SOLES","pubmed-33837267",1
