"REVIEW_ID","ITEM_ID","LABEL"
"NDC-SOLES","wos-000388154700065",0
"NDC-SOLES","pubmed-26072265",0
"NDC-SOLES","pubmed-24886391",0
"NDC-SOLES","pubmed-27427471",0
"NDC-SOLES","pubmed-15998793",0
"NDC-SOLES","scopus-85050377639",0
"NDC-SOLES","pubmed-25694335",0
"NDC-SOLES","pubmed-28448061",0
"NDC-SOLES","scopus-85014474541",0
"NDC-SOLES","pubmed-31680851",1
"NDC-SOLES","pubmed-33741414",0
"NDC-SOLES","pubmed-32711953",1
"NDC-SOLES","wos-000665815000001",0
"NDC-SOLES","scopus-0035900347",0
"NDC-SOLES","pubmed-21699923",0
"NDC-SOLES","pubmed-15265794",0
"NDC-SOLES","pubmed-28266561",0
"NDC-SOLES","pubmed-22254422",0
"NDC-SOLES","pubmed-23417928",0
"NDC-SOLES","scopus-84895787603",0
"NDC-SOLES","pubmed-15757890",0
"NDC-SOLES","pubmed-31893618",0
"NDC-SOLES","pubmed-20727596",0
"NDC-SOLES","pubmed-35241668",1
"NDC-SOLES","pubmed-28669662",0
"NDC-SOLES","pubmed-29959322",1
"NDC-SOLES","pubmed-28418888",0
"NDC-SOLES","wos-000862189700001",0
"NDC-SOLES","pubmed-27131348",1
"NDC-SOLES","wos-000600689300018",0
"NDC-SOLES","wos-000368371600019",0
"NDC-SOLES","pubmed-28374847",0
"NDC-SOLES","pubmed-20370715",0
"NDC-SOLES","pubmed-23141548",0
"NDC-SOLES","scopus-85136973760",0
"NDC-SOLES","pubmed-29088697",1
"NDC-SOLES","wos-000222964000004",0
"NDC-SOLES","pubmed-31838149",1
"NDC-SOLES","wos-000249464500006",0
"NDC-SOLES","pubmed-18281460",0
"NDC-SOLES","pubmed-22401813",0
"NDC-SOLES","pubmed-15862921",0
"NDC-SOLES","pubmed-31853066",1
"NDC-SOLES","wos-000522632400012",0
"NDC-SOLES","pubmed-15342473",1
"NDC-SOLES","pubmed-29477655",0
"NDC-SOLES","pubmed-23973221",0
"NDC-SOLES","pubmed-23456787",1
"NDC-SOLES","pubmed-23800157",0
"NDC-SOLES","scopus-0034619519",0
"NDC-SOLES","pubmed-16362527",0
"NDC-SOLES","scopus-85040915749",0
"NDC-SOLES","pubmed-11119244",0
"NDC-SOLES","pubmed-22127389",1
"NDC-SOLES","wos-000551794700001",0
"NDC-SOLES","pubmed-22186023",1
"NDC-SOLES","wos-a1996vj51100013",0
"NDC-SOLES","scopus-85090820556",0
"NDC-SOLES","pubmed-28854222",0
"NDC-SOLES","pubmed-34607683",0
"NDC-SOLES","pubmed-22806213",1
"NDC-SOLES","pubmed-7609869",0
