"ITEM_ID","LABEL","REVIEW_ID","KEYWORDS","Cat","ABSTRACT","TITLE"
"pubmed-10555141",1,"NDC-SOLES","AnimalsBlastocyst/*physiologyCentromere/geneticsCrosses GeneticDNA (Cytosine-5-)-Methyltransferases/deficiency/*genetics/*metabolismDNA MethylationDNA Methyltransferase 3AHomozygoteHumansImmunologic Deficiency Syndromes/geneticsMaleMammalsMiceMice Inbred C57BLMice KnockoutRepetitive Sequences Nucleic AcidStem Cells/physiology",NA,"","DNA methyltransferases Dnmt3a and Dnmt3b are essential for de novo methylation and mammalian development"
"pubmed-12486163",1,"NDC-SOLES","AnimalsCHO CellsCell AdhesionCell AggregationCell LineCells CulturedCricetinaeDrosophila/cytologyElectric ConductivityEpilepsy Generalized/geneticsGenetic Predisposition to DiseaseHumansKineticsMembrane PotentialsOocytes/metabolismPatch-Clamp Techniques*Point MutationProtein SubunitsRatsSeizures Febrile/geneticsSodium Channels/analysis/*genetics/*physiologySyndromeVoltage-Gated Sodium Channel beta-1 SubunitXenopus",NA,"","Functional and biochemical analysis of a sodium channel beta1 subunit mutation responsible for generalized epilepsy with febrile seizures plus type 1"
"pubmed-12671524",0,"NDC-SOLES","Aconitine/*analogs & derivatives/*therapeutic useAnimalsDose-Response Relationship DrugElectroshock/*methodsEpilepsy Tonic-Clonic/*physiopathology/prevention & controlHindlimbMaleMice",NA,"","Methyllycaconitine fails to inhibit electrically precipitated tonic hindlimb extension in mice"
"pubmed-14674845",1,"NDC-SOLES","Analysis of VarianceAnimals*Behavior AnimalCell Adhesion Molecules Neuronal/*geneticsCognition/physiologyEmotions/physiologyExtracellular Matrix Proteins/*geneticsFemaleGait/*geneticsHeterozygoteMaleMiceMice Neurologic Mutants/*geneticsNerve Tissue Proteins*PhenotypeReelin ProteinReflex Startle/*geneticsSerine EndopeptidasesSocial Isolation",NA,"","Behavioral phenotype of the reeler mutant mouse: effects of RELN gene dosage and social isolation"
"pubmed-14973240",0,"NDC-SOLES","5-Methoxytryptamine/pharmacologyAnimalsAxons/ultrastructureCell Adhesion Molecules Neuronal/biosynthesis/bloodCerebral Cortex/*cytology/drug effects/*embryology/metabolismDendrites/ultrastructureExtracellular Matrix Proteins/biosynthesis/bloodFemaleGestational AgeMiceNerve Tissue ProteinsNervous System Malformations/chemically induced/pathologyNeurons/*cytology/drug effects/metabolism/ultrastructurePregnancyPrenatal Exposure Delayed EffectsReelin ProteinSerine EndopeptidasesSerotonin/*metabolismSynapses/ultrastructure",NA,"","Early serotonergic projections to Cajal-Retzius cells: relevance for cortical development"
"pubmed-15811384",0,"NDC-SOLES","Aging/*geneticsAnimalsAvoidance Learning/*physiologyDisease Models AnimalFemaleGene Expression RegulationGenotypeGonadal Steroid Hormones/physiologyHybridization GeneticInbreedingLearning Disabilities/*geneticsMaleMemory Disorders/*geneticsMiceMice Inbred StrainsMice Mutant StrainsMultifactorial Inheritance/geneticsRetention Psychology/*physiologySeverity of Illness IndexSex Factors",NA,"","Genetic analysis of learning and memory deficits in senescence-accelerated mouse (SAM)"
"pubmed-16035034",0,"NDC-SOLES","AnimalsAnimals NewbornDeafness/geneticsDisease Models AnimalEye Diseases Hereditary/*geneticsEye Proteins/biosynthesis/*geneticsFemaleFertility/geneticsFetal Death/*geneticsGene ExpressionGenetic Diseases X-Linked/*geneticsHomozygoteHumansIn Situ HybridizationInfertility Female/*geneticsIntellectual Disability/geneticsMaleMiceMice KnockoutNerve Tissue Proteins/biosynthesis/*geneticsPregnancyReproduction/*genetics/physiologyReverse Transcriptase Polymerase Chain ReactionTrophoblasts",NA,"","Fetal loss in homozygous mutant Norrie disease mice: a new role of Norrin in reproduction"
"pubmed-16540584",1,"NDC-SOLES","6-Cyano-7-nitroquinoxaline-23-dione/pharmacologyAfferent Pathways/drug effects/*physiopathologyAge FactorsAnimalsCalcium Channel Blockers/pharmacologyCalcium Channels N-Type/*deficiency/drug effects/geneticsDisease Models AnimalElectric StimulationElectroencephalographyEpilepsy Absence/genetics/*physiopathologyEvoked Potentials/drug effects/physiologyExcitatory Postsynaptic Potentials/drug effects/physiologyHomeostasis/*physiologyLidocaine/analogs & derivatives/pharmacologyMiceMice Inbred C57BLMice Neurologic MutantsPatch-Clamp TechniquesPicrotoxin/pharmacologyPyramidal Cells/drug effects/physiologySomatosensory Cortex/*physiopathologySynaptic Transmission/drug effects/physiologyThalamic Nuclei/*physiopathologyValine/analogs & derivatives/pharmacologyomega-Agatoxin IVA/pharmacologyomega-Conotoxin GVIA/pharmacology",NA,"","Impaired feedforward inhibition of the thalamocortical projection in epileptic Ca2+ channel mutant mice tottering"
"pubmed-16554754",0,"NDC-SOLES","AnimalsCalcium-Binding ProteinsChromosomes Human Pair 21/geneticsChromosomes Mammalian/*geneticsDisease Models AnimalDown Syndrome/*geneticsGene Dosage/*genetics*Gene Expression RegulationHumansIntracellular Signaling Peptides and Proteins/*genetics/metabolismMiceMice TransgenicModels GeneticMuscle Proteins/*genetics/metabolismMutation/geneticsNFATC Transcription Factors/deficiency/genetics/*metabolismPhenotypeProtein Serine-Threonine Kinases/*genetics/metabolismProtein-Tyrosine KinasesTransgenes/genetics",NA,"","NFAT dysregulation by increased dosage of DSCR1 and DYRK1A on chromosome 21"
"pubmed-16818619",0,"NDC-SOLES","AllelesAnimalsFemaleGenes Tumor SuppressorGerm-Line MutationMaleMiceMice Inbred BALB CMice KnockoutNeoplasms Experimental/*geneticsPTEN Phosphohydrolase/*deficiency/genetics",NA,"","Genetic background controls tumor development in PTEN-deficient mice"
"pubmed-17878293",1,"NDC-SOLES","AnimalsBasic Helix-Loop-Helix Leucine Zipper Transcription FactorsBasic Helix-Loop-Helix Transcription Factors/*genetics/*physiology*Cell DifferentiationDimerizationDrosophilaGene DeletionGene Expression Regulation DevelopmentalIntellectual Disability/metabolism/pathologyMiceModels GeneticNerve Tissue Proteins/*genetics/*physiologyNeurons/cytology/*metabolismStem Cells/*cytology/metabolismTCF Transcription Factors/*genetics/*physiologyTranscription Factor 4Transcription Geneticbeta-Galactosidase/metabolism",NA,"","The E-protein Tcf4 interacts with Math1 to regulate differentiation of a specific subset of neuronal progenitors"
"pubmed-18037993",0,"NDC-SOLES","AdolescentAdultChildDyslexia/genetics/pathology/physiopathologyFemaleGene DeletionHumansMale*Motion PerceptionOptic Disk/growth & development/pathology/*physiopathologyPhenotypeVision Disorders/genetics/pathology/*physiopathology*Vision Ocular/geneticsVisual Cortex/growth & development/pathology/*physiopathologyWilliams Syndrome/genetics/pathology/*physiopathology",NA,"","Visual phenotype in Williams-Beuren syndrome challenges magnocellular theories explaining human neurodevelopmental visual cortical disorders"
"pubmed-18413370",0,"NDC-SOLES","Attention Deficit Disorder with Hyperactivity/*geneticsAutistic Disorder/*geneticsChild*Gene DeletionHumansIchthyosis X-Linked/*geneticsMaleSteryl-Sulfatase/*geneticsUnited Kingdom",NA,"","X-linked ichthyosis (steroid sulfatase deficiency) is associated with increased risk of attention deficit hyperactivity disorder autism and social communication deficits"
"pubmed-18506028",0,"NDC-SOLES","AnimalsCell Adhesion/physiologyCell Movement/physiologyCells CulturedCerebral Cortex/*cytology/*embryologyCrosses GeneticEmbryo MammalianGuanine Nucleotide-Releasing Factor 2/genetics/*physiologyMiceMice Inbred CBAMice Inbred StrainsMutationNeuroglia/*physiologyNeurons/*physiologyOrgan Culture TechniquesReelin ProteinStem Cells/cytology",NA,"","C3G regulates cortical neuron migration preplate splitting and radial glial cell attachment"
